Day,Qty Sold,Sales Revenue,Gross Profit
2024-02-01,948.0,7407099.9,3534957.9000000004
2024-02-02,1125.0,8934250.1,4169100.1
2024-02-03,844.0,6704317.1,3201130.1
2024-02-04,542.0,4432400.1,2177264.1
2024-02-05,849.0,6958690.2,3331711.2
2024-02-06,972.0,7851350.1,3829581.1
2024-02-07,1058.0,8789900.0,4390109.0
2024-02-08,561.0,4760850.4,2436404.4
2024-02-09,581.0,4915900.0,2487328.0
2024-02-10,445.0,3891600.0,2075811.0
2024-02-11,489.0,4285200.0,2265340.0
2024-02-12,728.0,6332700.0,3240648.0
2024-02-13,882.0,7967260.0,4043472.0
2024-02-14,482.0,4319000.0,2352370.0
2024-02-15,721.0,6307900.0,3263669.0
2024-02-16,759.0,6654300.0,3498166.0
2024-02-17,673.0,5967500.0,3108805.0
2024-02-18,509.0,4502900.0,2378251.0
2024-02-19,821.0,7341500.0,3827084.0
2024-02-20,864.0,7651780.0,3961457.0
2024-02-21,916.0,8173200.0,4226511.0
2024-02-22,938.0,8137200.0,4281487.0
2024-02-23,1039.0,10221400.0,4952723.0
2024-02-24,908.0,9526100.0,4486432.0
2024-02-25,563.0,5972800.0,2834460.0
2024-02-26,853.0,7754000.0,4191714.0
2024-02-27,946.0,8827300.0,4733275.0
2024-02-28,1014.0,9375500.0,5010071.0
2024-02-29,962.0,8914200.0,4798819.0
