Machine Tag,Financial Loss
HOTEL MERCURE,"118,785"
RS UI LT 5,"112,589"
CLUSTER ATHALIA 2,"104,150"
HOTEL PARK HYATT,"88,122"
RS UI LOBBY,"86,450"
RS JAKARTA 2,"85,049"
RSIA PRATIWI,"70,500"
RSCM 2,"61,639"
RS UI IGD,"61,600"
SAMSUNG KUNINGAN 2,"60,725"
SEKOLAH AL AZHAR GRAND WISATA BEKASI,"51,806"
PT BASF,"47,394"
UNIVERSITAS PANCASILA,"43,932"
BAKRIE AND BROTHER LT 27,"40,651"
LION VILLAGE 2,"39,384"
ALL SEDAYU,"37,867"
SMART HAPPY KIDS,"34,984"
BNI RAWAMANGUN,"29,541"
HOTEL KEMPINSKI 1,"29,207"
KLINIK LALITA BEKASI,"28,500"
DIGNITAS ACADEMY,"27,514"
CLUSTER ATHALIA 1,"27,195"
RS DINDA,"24,292"
LIPPO TOWER HOLLAND 2,"22,820"
HALIM,"21,921"
UNIPREP PONDOK INDAH,"21,392"
RSCM 3,"18,250"
LABSCHOOL 2,"15,668"
PULOMAS 4,"13,476"
MANULIFE KUNINGAN 1,"13,400"
ST REGIST 2,"12,707"
INDOCEMENT 6,"10,875"
LIPPO TOWER HOLLAND 3,"9,995"
AKULAKU,"9,101"
Hotel Hermitage,"8,692"
HOTEL 101,"8,550"
UNIV BAKRIE 3,"7,800"
AXA KUNINGAN 2,"7,600"
NINE RESIDENCE,"6,475"
ARWANA CITRA,"6,384"
LION VILLAGE 1,"6,384"
AXA KUNINGAN 1,"6,384"
INDOCEMENT 3,"6,300"
LIPPO TOWER HOLLAND,"6,107"
RS JAKARTA 3,"6,100"
SEKOLAH FAJAR,"6,092"
GRIYA PATRIA GUEST HOUSE,"5,917"
NEO SOHO,"5,892"
UNIV BAKRIE 2,"5,825"
SMK TELKOM,"5,750"
RS UI FARMASI,"5,292"
KENGSINGTON OFFICE TOWER,"5,001"
PULOMAS 2,"4,914"
LABSCHOOL 1,"4,700"
AXA 4,"4,500"
PT SINERGI,"4,271"
INDOCEMENT 2,"4,000"
GRAHA ELNUSA,"3,192"
MANULIFE KUNINGAN 2,"3,192"
UNIPREP BSD 1,"3,192"
INDOCEMENT,"3,192"
PT TIMERINDO,"3,192"
INDOCEMENT 5,"2,900"
INDOCEMENT 7,"2,801"
PT MATRA RODA PIRANTI 1,"2,480"
HOTEL HILTON,"2,100"
RSCM 4,"2,100"
CV JAYA ABADI 3,"2,100"
SEKOLAH BSP,"2,021"
ST REGIST 1,"2,000"
PT MATRA RODA PIRANTI 3,"1,948"
