Date,Financial Loss
2024-02-17,"102,718"
2024-02-23,"86,205"
2024-02-13,"80,767"
2024-02-07,"80,367"
2024-02-21,"79,640"
2024-02-08,"79,514"
2024-02-20,"78,393"
2024-02-09,"75,502"
2024-02-11,"74,669"
2024-02-02,"69,271"
2024-02-03,"65,055"
2024-02-24,"62,791"
2024-02-22,"60,051"
2024-02-16,"55,093"
2024-02-05,"53,829"
2024-02-19,"52,912"
2024-02-10,"50,843"
2024-02-06,"50,765"
2024-02-27,"50,325"
2024-02-15,"50,210"
2024-02-26,"48,910"
2024-02-12,"46,571"
2024-02-14,"44,300"
2024-02-28,"36,877"
2024-02-29,"34,214"
2024-02-04,"34,068"
2024-02-18,"22,028"
2024-02-01,"16,933"
2024-02-25,"14,000"
