Product Name,Qty Lost
Beng Beng Maxx,75
Teh Pucuk 350ML,26
YOU C1000 orange water 500ML,23
POCARI SWEAT 350ML,22
french fries 2000,22
SUKRO OVEN 25 GRAM,21
MONDE SERENA SNACK 25 GRAM,20
TWISTKO,17
iyes mix,13
KUSUKA AYAM MADU,12
CIMORY MARIE REGAL,10
CIMORY COKLAT 250ML,10
sunkist water orange,10
MONDE EGG ROLL CHOCOLATE,9
Pulpy Orange 300ML,9
Spix mi goreng,9
EGG ROLL STRAWBERRY,8
WALLENS CHOCOSHOES,7
POKKA LYCHEE TEA,6
yoritos,6
MILO ORIGINAL 220ML,6
CIMORY ALMOND,6
INACO MINI PUDDING,5
MILKU COKLAT 200ML,5
TEH SEJUK,4
POTATO CHIP  50G,4
mayasi paw,4
AW 250ML,4
potato q rasa sosis meksiko,4
AQUA 600ml,4
Coca Cola Botol 390ML,4
Le Mineral 600ML,4
Astor Double Coklat Kecil 40 GRAM,4
LARUTAN CAP KAKI TIGA LECI,4
INACO MINI JELLY AND PUDDING,3
Nescafe CappuccIno 240 ML,3
Nescafe Latte 240 ML,3
Hydro Coco 250ML,3
MIE SEDAP CUP GORENG,3
INACO IM COCO LECI,3
SUNKIST LEMON C,3
EGG ROLL CHEESE,2
Go potato cheese,2
fire crackers sambal mangga,2
MILKU STRAWBERRY,2
SPRITE KALENG 250ML,2
Coca cola kaleng 250ml,2
CROISANT 60 GRAM,2
POTAKREZ sapi panggang,2
POKKA LEMON TEA,2
WALENS BLUEBERRY SOES,1
CIMORY MATCHA,1
yeos minuman sari kedelai,1
GO POTATO,1
INACO COCO MELON,1
Tik Tak Sapi Panggang 90 GRAM,1
Tik Tak Original 90 GRAM,1
Tic tic rasa bawang asli,1
TOLAK ANGIN,1
Kacang Mayasi,1
Piattos 35GRAM,1
Kopiko Lucky Day 180 ML,1
Lasegar leci lemon,1
Oi Ocha Green Tea 300 ml,1
MIE SEDAAP SELECTION KOREAN SPICY,1
Mie Sedaap Soto,1
